"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"1","100_who","stripped",5249.4,6104.2,6123,24.536304,0,11.5898608064042,3250.14303946949,3882.071664603
"2","100_who","stripped",5646.5,5698,7167,8.499168,1,11.3317787219779,3656.50109778294,5031.8550540521
"3","100_who","stripped",922.9,1028.4,6374,9.913428,2,11.133124655877,2953.67210999956,5663.31437351701
"4","100_who","stripped",912.4,962.5,5448,7.9104168,3,10.5532183688278,2320.29277712303,5555.17550288997
"5","100_who","stripped",567,567.1,1954,4.625208,4,9.33254659544063,1722.68877650135,3718.64145556872
"6","100_who","stripped",880.5,880.7,1989,5.930964,5,8.57752374698341,1427.47619635692,2833.35140107067
"7","100_who","stripped",1060.4,1060.6,2307,5.9165856,6,7.96136765354851,1297.34592092814,2563.71446229476
"8","100_who","stripped",1092.6,1160.2,2298,5.8693788,7,7.46519044101795,1248.46787096533,2427.5675735662
"9","100_who","stripped",976,1019.3,2185,6.3414468,8,7.19499966830642,1166.6328432569,2303.27464750239
"10","10_linkedin","stripped",677,677.1,413,3.445308,0,3.30483645326877,643.724717431978,264.539572303369
"11","10_linkedin","stripped",858.9,859.1,458,3.256524,1,3.27848200879418,693.770447558995,341.114055787991
"12","10_linkedin","stripped",4181.1,4181.1,400,3.7293372,2,3.55120971451803,1909.3243459519,371.28749490435
"13","10_linkedin","stripped",707.8,768.2,545,3.476772,3,3.50550695515791,1459.26050413458,464.854769239137
"14","10_linkedin","stripped",762.3,762.4,476,3.398112,4,3.43942482779834,1173.0168700041,470.919436357679
"15","10_linkedin","stripped",762.3,762.4,390,4.7049444,5,4.21837457771557,1002.04134038281,426.794677155497
"16","10_linkedin","stripped",1106.8,1133.2,474,3.445308,6,3.74251564174534,1056.90457834595,452.546537942403
"17","10_linkedin","stripped",596.4,628.7,472,3.3988896,7,3.53099611378064,877.51160267316,463.15991006953
"18","10_linkedin","stripped",700.8,701.4,435,3.0226752,8,3.21809808242057,803.692650620594,447.796211633964
"19","14_apple","stripped",844.8,1189.1,2263,4.8382272,0,4.53238908325689,622.644498221675,1365.55626156569
"20","14_apple","stripped",460.3,540.8,2122,5.26419,1,4.86580909377191,608.527906760698,1571.68339966504
"21","14_apple","stripped",824,1097.1,2022,5.822172,2,5.38368794115594,743.294799698896,1748.59265888374
"22","14_apple","stripped",605.8,605.8,2413,5.0668632,3,5.20662076471541,698.434959171829,2037.07941359747
"23","14_apple","stripped",1249.1,1249.2,2121,5.5508544,4,5.40016100806314,890.323434107589,2074.60326067524
"24","14_apple","stripped",1012.4,1012.5,2015,5.1612768,5,5.26569856725065,934.022213431423,2047.71859113104
"25","14_apple","stripped",1085.2,1085.2,2016,6.301314,6,5.84874972803803,988.66834619414,2033.37415528006
"26","14_apple","stripped",1263.6,1263.7,2190,8.699796,7,7.45395463660642,1088.5089675833,2104.26215616025
"27","14_apple","stripped",1171,1171,2216,5.2242192,8,6.19855211064182,1118.50613597963,2154.84594031024
"28","15_live","stripped",635.4,635.5,698,3.6357552,0,3.93475673071096,397.785073875438,429.900176594027
"29","15_live","stripped",651.6,651.7,655,7.6632372,1,5.33923509525766,450.945929548839,506.342088162988
"30","15_live","stripped",648.4,648.5,699,3.6663948,2,4.5447994297521,514.489212266826,595.073360049122
"31","15_live","stripped",631.3,631.4,921,3.9496356,3,4.24682812026943,557.706698792687,755.953817929063
"32","15_live","stripped",842.2,842.3,631,3.8377296,4,4.03941766536954,668.179597809118,693.234015710235
"33","15_live","stripped",665.2,665.3,857,3.77568,5,3.90529915538796,667.042065846568,775.772523882745
"34","15_live","stripped",501.6,501.8,667,3.6821304,6,3.79172841283147,601.353480053746,720.895832772239
"35","15_live","stripped",1428,1428.1,743,3.712752,7,3.75153019815529,930.758015380647,732.050324046006
"36","15_live","stripped",687.9,688,690,6.5617452,8,5.18196246638638,833.955301516379,710.829063199402
"37","17_yahoo","stripped",21889.5,21973.2,22864,18.08766,0,8.79591203289094,8841.27430510213,9407.537679143
"38","17_yahoo","stripped",698.6,748.3,1682,5.4577548,1,8.52669473825569,7709.36749810675,8479.92951003063
"39","17_yahoo","stripped",5543.3,5603.3,6546,8.935776,2,8.57993764941344,7220.28185767881,8085.10961321654
"40","17_yahoo","stripped",718.2,772.6,1837,5.86845,3,8.12966126660385,5395.14989561964,6497.65112637712
"41","17_yahoo","stripped",748.6,803.5,1923,5.757912,4,7.67829347696957,3979.63253343986,5212.87403474228
"42","17_yahoo","stripped",696,773.7,1875,5.3658396,5,7.20215770809085,2953.29264268811,4230.09099933198
"43","17_yahoo","stripped",670.3,725,1847,5.380344,6,6.80935326983077,2227.81780299994,3512.46259858347
"44","17_yahoo","stripped",721.8,795.5,1837,5.002776,7,6.40912147766852,1757.96297063596,3002.46789564262
"45","17_yahoo","stripped",724.8,781,1710,5.6818512,8,6.24539958268001,1436.3968152924,2607.02084426183
"46","18_amazon","stripped",700.7,700.8,1483,10.1966688,0,6.69657970373225,447.939009381613,1032.8252356504
"47","18_amazon","stripped",817.9,818,1790,5.751378,1,6.52460538969876,527.635703771765,1528.22548227827
"48","18_amazon","stripped",658.7,658.8,2549,9.093096,2,7.21982302364593,570.76014076888,2261.19371546836
"49","18_amazon","stripped",623.9,624,1730,7.159698,3,7.2008837072449,590.792528425509,1877.12396214444
"50","18_amazon","stripped",636,636.1,1953,8.890614,4,7.76725674293911,608.653141198076,1932.01367116433
"51","18_amazon","stripped",1363.7,1363.8,1798,5.5704024,5,7.01156226736393,911.257626452061,1835.06253381269
"52","18_amazon","stripped",508.2,508.3,2131,5.9323212,6,6.63624935344773,748.844391519369,2049.15682886556
"53","18_amazon","stripped",1300.1,1300.2,3383,12.9356784,7,8.83698615709858,971.527046056864,3014.11839490751
"54","19_doubleclick","stripped",664.1,664.2,1417,4.6577376,0,4.79352768503539,632.238146172571,1360.22742126938
"55","19_doubleclick","stripped",1831.3,1831.3,2420,6.6206736,1,6.13628688448456,1534.04028102246,1692.05951700977
"56","19_doubleclick","stripped",1534.5,1534.6,7435,7.283916,2,7.01685203120024,1534.48304589745,4188.50570789958
"57","19_doubleclick","stripped",825.5,825.7,1561,5.3343684,3,5.72296835995792,972.605376310341,2950.81118496869
